Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,12,,NZ Dollars (millions),12 and 21 and 28,39.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,8,,NZ Dollars (millions),12 and 21 and 28,26.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,7,,NZ Dollars (millions),12 and 21 and 28,23.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,4,,NZ Dollars (millions),12 and 21 and 28,30.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2019,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,06_Non-metallic mineral product manufacturing,2022,0,,NZ Dollars (millions),3 and 12 and 21 and 28,29.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2016,2,,NZ Dollars (millions),12 and 21 and 28,28.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2018,7,,NZ Dollars (millions),12 and 21 and 28,16.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2019,8,,NZ Dollars (millions),12 and 21 and 28,16.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2020,6,,NZ Dollars (millions),12 and 21 and 28,18.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2021,2,,NZ Dollars (millions),12 and 21 and 28,38.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,07_Metal product manufacturing,2022,1,,NZ Dollars (millions),12 and 21 and 28,44.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2016,47,,NZ Dollars (millions),12 and 21 and 28,13.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2018,47,,NZ Dollars (millions),12 and 21 and 28,18.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2019,54,,NZ Dollars (millions),12 and 21 and 28,16.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2020,58,,NZ Dollars (millions),12 and 21 and 28,12.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2021,43,,NZ Dollars (millions),12 and 21 and 28,12.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,08_Machinery and equipment manufacturing,2022,37,,NZ Dollars (millions),12 and 21 and 28,24.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2018,C,,NZ Dollars (millions),12 and 21 and 28,C
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2019,3,,NZ Dollars (millions),12 and 21 and 28,48.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2020,1,,NZ Dollars (millions),12 and 21 and 28,50.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2021,6,,NZ Dollars (millions),12 and 21 and 28,95.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,09_Other manufacturing,2022,3,,NZ Dollars (millions),12 and 21 and 28,58.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2016,11,,NZ Dollars (millions),12 and 21 and 28,18
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2018,23,,NZ Dollars (millions),12 and 21 and 28,56.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2019,17,,NZ Dollars (millions),12 and 21 and 28,24.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2020,20,,NZ Dollars (millions),12 and 21 and 28,26.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2021,22,,NZ Dollars (millions),12 and 21 and 28,21.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,10_Wholesale trade,2022,4,,NZ Dollars (millions),12 and 21 and 28,28.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2016,21,,NZ Dollars (millions),12 and 21 and 28,34.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2018,29,,NZ Dollars (millions),12 and 21 and 28,63.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2019,21,,NZ Dollars (millions),12 and 21 and 28,54.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2020,29,,NZ Dollars (millions),12 and 21 and 28,37.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2021,55,,NZ Dollars (millions),12 and 21 and 28,33
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,11_Scientific research and technical services,2022,64,,NZ Dollars (millions),12 and 21 and 28,22.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2016,34,,NZ Dollars (millions),12 and 21 and 28,18.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2018,61,,NZ Dollars (millions),12 and 21 and 28,18.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2019,79,,NZ Dollars (millions),12 and 21 and 28,12.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2020,85,,NZ Dollars (millions),12 and 21 and 28,14.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2021,90,,NZ Dollars (millions),12 and 21 and 28,13.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,12_Computer services,2022,43,,NZ Dollars (millions),12 and 21 and 28,25.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2016,20,,NZ Dollars (millions),4 and 12 and 21 and 28,49.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2018,49,,NZ Dollars (millions),4 and 12 and 21 and 28,43.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2019,59,,NZ Dollars (millions),4 and 12 and 21 and 28,28
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2020,68,,NZ Dollars (millions),4 and 12 and 21 and 28,19.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2021,77,,NZ Dollars (millions),4 and 12 and 21 and 28,15.9
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2022,79,,NZ Dollars (millions),4 and 12 and 21 and 28,28.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2016,410,,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2018,546,,NZ Dollars (millions),3 and 12 and 21 and 28,8.7
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2019,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2020,416,R,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2021,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,14_Scientific research,2022,535,,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2016,44,,NZ Dollars (millions),3 and 12 and 21 and 28,20.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2018,46,,NZ Dollars (millions),3 and 12 and 21 and 28,45
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2019,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2020,64,,NZ Dollars (millions),3 and 12 and 21 and 28,32.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2021,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,15_Other government research,2022,73,,NZ Dollars (millions),3 and 12 and 21 and 28,24.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2016,351,,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2018,404,,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2019,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2020,495,R,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2021,...,,NZ Dollars (millions),3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,16_Higher Education,2022,559,P,NZ Dollars (millions),3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2016,176,,NZ Dollars (millions),1 and 12 and 21 and 28,9.9
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2018,254,,NZ Dollars (millions),1 and 12 and 21 and 28,14.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2019,281,,NZ Dollars (millions),1 and 12 and 21 and 28,10
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2020,295,,NZ Dollars (millions),1 and 12 and 21 and 28,8.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2021,332,,NZ Dollars (millions),1 and 12 and 21 and 28,8.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2022,262,,NZ Dollars (millions),1 and 12 and 21 and 28,12
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2016,454,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2018,592,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,8.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2020,481,R,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,4.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,02_Government Sector,2022,608,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,2.9
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2016,351,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2018,404,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2020,495,R,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,03_Higher Education Sector,2022,559,P,NZ Dollars (millions),1 and 2 and 3 and 12 and 21 and 28,0
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2016,4,,NZ Dollars (millions),5 and 12 and 21 and 28,46.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2018,26,,NZ Dollars (millions),5 and 12 and 21 and 28,78.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2020,20,,NZ Dollars (millions),5 and 12 and 21 and 28,35.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,01_Zero employees,2022,17,P,NZ Dollars (millions),5 and 12 and 21 and 28,45.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2016,22,,NZ Dollars (millions),5 and 12 and 21 and 28,48.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2018,29,,NZ Dollars (millions),5 and 12 and 21 and 28,24.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2020,36,,NZ Dollars (millions),5 and 12 and 21 and 28,20.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,02_1 to 9 employees,2022,54,P,NZ Dollars (millions),5 and 12 and 21 and 28,31
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2016,16,,NZ Dollars (millions),5 and 12 and 21 and 28,31.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2018,23,,NZ Dollars (millions),5 and 12 and 21 and 28,44.4
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2020,30,,NZ Dollars (millions),5 and 12 and 21 and 28,25.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,03_10 to 19 employees,2022,27,P,NZ Dollars (millions),5 and 12 and 21 and 28,27.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2016,23,,NZ Dollars (millions),5 and 12 and 21 and 28,27.3
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2018,30,,NZ Dollars (millions),5 and 12 and 21 and 28,21.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2020,43,,NZ Dollars (millions),5 and 12 and 21 and 28,19.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,04_20 to 49 employees,2022,52,P,NZ Dollars (millions),5 and 12 and 21 and 28,25.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2016,46,,NZ Dollars (millions),5 and 12 and 21 and 28,11.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2018,54,,NZ Dollars (millions),5 and 12 and 21 and 28,30.9
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2020,59,,NZ Dollars (millions),5 and 12 and 21 and 28,21.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,05_50 to 99 employees,2022,24,P,NZ Dollars (millions),5 and 12 and 21 and 28,46.6
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2016,870,,NZ Dollars (millions),5 and 12 and 21 and 28,1.2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2018,1089,,NZ Dollars (millions),5 and 12 and 21 and 28,4.9
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2019,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2020,1083,R,NZ Dollars (millions),5 and 12 and 21 and 28,2.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2021,...,,NZ Dollars (millions),5 and 12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Size,06_100 or more employees,2022,1256,P,NZ Dollars (millions),5 and 12 and 21 and 28,1.8
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2016,981,,NZ Dollars (millions),12 and 21 and 28,2
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2018,1250,,NZ Dollars (millions),12 and 21 and 28,5.1
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2019,...,,NZ Dollars (millions),12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2020,1271,R,NZ Dollars (millions),12 and 21 and 28,2.5
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2021,...,,NZ Dollars (millions),12 and 21 and 28,...
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2022,1429,P,NZ Dollars (millions),12 and 21 and 28,2.5
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2020,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2021,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2022,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2016,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2018,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2020,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,B_Mining,2022,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2016,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2018,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2019,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2020,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2021,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,C_Manufacturing,2022,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2020,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2022,...,,NZ Dollars (millions),3 and 12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2016,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2018,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2019,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2020,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2021,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,E_Construction,2022,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,F_Wholesale Trade,2016,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,F_Wholesale Trade,2018,...,,NZ Dollars (millions),12 and 28,...
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,ANZSIC_1_Digit,F_Wholesale Trade,2019,...,,NZ Dollars (millions),12 and 28,...
